Date,Open,High,Low,Close,Volume,Adjusted Close
2015-08-12,15.19,16.280001,13.45,13.61,0.0,13.61
2015-08-13,13.87,14.33,13.06,13.49,0.0,13.49
2015-08-14,13.69,13.87,12.8,12.83,0.0,12.83
2015-08-17,14.32,14.52,13.01,13.02,0.0,13.02
2015-08-18,13.41,13.94,13.17,13.79,0.0,13.79
2015-08-19,14.84,15.96,13.73,15.25,0.0,15.25
2015-08-20,16.549999,19.24,16.129999,19.139999,0.0,19.139999
2015-08-21,22.549999,28.379999,20.799999,28.030001,0.0,28.030001
2015-08-24,28.030001,53.290001,28.030001,40.740002,0.0,40.740002
2015-08-25,31.129999,38.060001,28.08,36.02,0.0,36.02
2015-08-26,31.129999,35.619999,28.67,30.32,0.0,30.32
2015-08-27,27.110001,29.9,24.49,26.1,0.0,26.1
2015-08-28,26.690001,29.200001,25.77,26.049999,0.0,26.049999
2015-08-31,27.030001,29.370001,26.629999,28.43,0.0,28.43
2015-09-01,31.91,33.82,29.91,31.4,0.0,31.4
2015-09-02,29.139999,30.450001,24.77,26.09,0.0,26.09
2015-09-03,25.209999,26.309999,23.450001,25.610001,0.0,25.610001
2015-09-04,27.43,29.469999,25.68,27.799999,0.0,27.799999
2015-09-08,25.049999,26.25,24.129999,24.9,0.0,24.9
2015-09-09,22.389999,26.82,21.51,26.23,0.0,26.23
2015-09-10,26.870001,27.219999,23.530001,24.370001,0.0,24.370001
2015-09-11,25.379999,25.809999,23.15,23.200001,0.0,23.200001
2015-09-14,24.030001,25.32,23.639999,24.25,0.0,24.25
2015-09-15,23.280001,23.77,22.129999,22.540001,0.0,22.540001
2015-09-16,22.57,22.940001,21.09,21.35,0.0,21.35
2015-09-17,21.540001,23.33,17.870001,21.139999,0.0,21.139999
2015-09-18,23.07,23.99,20.98,22.280001,0.0,22.280001
2015-09-21,21.969999,22.48,20.049999,20.139999,0.0,20.139999
2015-09-22,22.969999,26.290001,22.25,22.440001,0.0,22.440001
2015-09-23,22.09,23.200001,21.139999,22.129999,0.0,22.129999
2015-09-24,23.530001,25.299999,21.809999,23.469999,0.0,23.469999
2015-09-25,21.120001,24.290001,20.809999,23.620001,0.0,23.620001
2015-09-28,25.02,28.33,24.940001,27.629999,0.0,27.629999
2015-09-29,26.57,28.200001,25.76,26.83,0.0,26.83
2015-09-30,24.639999,25.879999,23.25,24.5,0.0,24.5
2015-10-01,23.139999,25.23,22.549999,22.549999,0.0,22.549999
2015-10-02,23.99,24.469999,20.35,20.940001,0.0,20.940001
2015-10-05,20.309999,20.42,19.139999,19.540001,0.0,19.540001
2015-10-06,19.540001,20.32,18.82,19.4,0.0,19.4
2015-10-07,18.959999,19.73,18.33,18.4,0.0,18.4
2015-10-08,18.620001,19.02,16.34,17.42,0.0,17.42
2015-10-09,17.15,18.200001,16.889999,17.08,0.0,17.08
2015-10-12,17.68,17.809999,16.15,16.17,0.0,16.17
2015-10-13,17.08,17.700001,16.139999,17.67,0.0,17.67
2015-10-14,17.67,18.780001,17.299999,18.030001,0.0,18.030001
2015-10-15,17.620001,17.85,16.040001,16.049999,0.0,16.049999
2015-10-16,15.64,16.860001,15.05,15.05,0.0,15.05
2015-10-19,15.68,16.23,14.82,14.98,0.0,14.98
2015-10-20,15.17,16.34,14.72,15.75,0.0,15.75
2015-10-21,14.98,16.700001,14.41,16.700001,0.0,16.700001
2015-10-22,15.02,15.92,14.45,14.45,0.0,14.45
2015-10-23,13.46,15.12,13.24,14.46,0.0,14.46
2015-10-26,14.76,15.43,14.68,15.29,0.0,15.29
2015-10-27,15.75,15.99,14.78,15.43,0.0,15.43
2015-10-28,15.14,15.73,12.8,14.33,0.0,14.33
2015-10-29,14.8,15.46,14.33,14.61,0.0,14.61
2015-10-30,14.6,15.39,14.0,15.07,0.0,15.07
2015-11-02,15.41,15.51,13.67,14.15,0.0,14.15
2015-11-03,14.33,14.73,13.81,14.54,0.0,14.54
2015-11-04,14.04,15.88,13.96,15.51,0.0,15.51
2015-11-05,15.39,16.389999,15.0,15.05,0.0,15.05
2015-11-06,14.91,16.0,14.32,14.33,0.0,14.33
2015-11-09,15.34,17.09,15.14,16.52,0.0,16.52
2015-11-10,16.690001,16.959999,15.24,15.29,0.0,15.29
2015-11-11,15.07,16.15,15.02,16.059999,0.0,16.059999
2015-11-12,17.059999,18.5,16.65,18.370001,0.0,18.370001
2015-11-13,18.68,20.67,18.200001,20.08,0.0,20.08
2015-11-16,20.51,20.549999,17.25,18.16,0.0,18.16
2015-11-17,17.82,19.59,16.860001,18.84,0.0,18.84
2015-11-18,19.01,19.450001,16.799999,16.85,0.0,16.85
2015-11-19,16.25,18.26,16.0,16.99,0.0,16.99
2015-11-20,16.129999,16.379999,15.47,15.47,0.0,15.47
2015-11-23,16.15,16.74,15.38,15.62,0.0,15.62
2015-11-24,16.530001,17.209999,15.48,15.93,0.0,15.93
